Tiempo,Control,Plataforma
9.56,20,5.272763
9.58,20,5.265577
9.6,20,5.266995
9.62,20,5.291794
9.64,20,5.298942
9.66,20,5.304305
9.68,20,5.314357
9.7,20,5.326275
9.72,20,5.308395
9.74,20,5.309816
9.76,20,5.302099
9.78,20,5.303999
9.8,20,5.307961
9.82,20,5.310488
9.84,20,5.312535
9.86,20,5.31181
9.88,20,5.306304
9.9,20,5.303853
9.92,20,5.29448
9.94,20,5.281188
9.96,20,5.283122
9.98,20,5.277014
10,20,5.27916
10.02,10,5.284751
10.04,10,5.295245
10.06,10,5.155666
10.08,10,4.403721
10.1,10,3.376296
10.12,10,3.136249
10.14,10,2.589684
10.16,10,2.268897
10.18,10,2.13895
10.2,10,2.028112
10.22,10,1.94463
10.24,10,1.84895
10.26,10,1.848266
10.28,10,1.843168
10.3,10,1.860203
10.32,10,1.871176
10.34,10,1.878062
10.36,10,1.902419
10.38,10,1.899459
10.4,10,1.910124
10.42,10,1.906907
10.44,10,1.906934
10.46,10,1.914889
10.48,10,1.932148
10.5,10,1.937276
10.52,10,1.951244
10.54,10,1.96222
10.56,10,1.971025
10.58,10,1.967957
10.6,10,1.969661
10.62,10,1.972857
10.64,10,1.97363
10.66,10,1.990964
10.68,10,1.98438
10.7,10,1.984161
10.72,10,1.973512
10.74,10,1.974547
10.76,10,1.979606
10.78,10,1.990625
10.8,10,1.991241
10.82,10,1.976096
10.84,10,1.976699
10.86,10,1.984804
10.88,10,1.980135
10.9,10,1.976809
10.92,10,1.977558
10.94,10,1.97643
10.96,10,1.985002
10.98,10,2.00157
11,10,2.007911
11.02,10,2.007253
11.04,10,2.002388
11.06,10,2.006442
11.08,10,2.007039
11.1,10,2.004668
11.12,10,2.002717
11.14,10,2.001117
11.16,10,2.001852
11.18,10,2.008464
11.2,10,2.01563
11.22,10,2.036669
11.24,10,2.041292
11.26,10,2.04068
11.28,10,2.044009
11.3,10,2.046819
11.32,10,2.051139
11.34,10,2.044642
11.36,10,2.041029
11.38,10,2.039797
11.4,10,2.032778
11.42,10,2.029362
11.44,10,2.028234
11.46,10,2.027377
11.48,10,2.025037
11.5,10,2.031544
11.52,10,2.023701
11.54,10,2.014657
11.56,10,2.013904
11.58,10,2.010413
11.6,10,2.009902
11.62,10,2.014205
11.64,10,2.003276
11.66,10,2.003116
11.68,10,2.000431
11.7,10,2.00067
11.72,10,1.996618
11.74,10,1.998424
11.76,10,2.002043
11.78,10,2.010794
11.8,10,2.01446
11.82,10,2.007971
11.84,10,2.008744
11.86,10,2.005372
11.88,10,1.998531
11.9,10,2.007135
11.92,10,1.997508
11.94,10,1.999654
11.96,10,2.000584
11.98,10,2.004891
12,10,2.008387
12.02,0,2.008209
12.04,0,1.998712
12.06,0,2.003797
12.08,0,1.458017
12.1,0,0.61032
12.12,0,0.2478779
12.14,0,-0.3095544
12.16,0,-0.8389367
12.18,0,-0.9532456
12.2,0,-1.079882
12.22,0,-1.076902
12.24,0,-1.158856
12.26,0,-1.15645
12.28,0,-1.164857
12.3,0,-1.153509
12.32,0,-1.128774
12.34,0,-1.12561
12.36,0,-1.109406
12.38,0,-1.116572
12.4,0,-1.116246
12.42,0,-1.096969
12.44,0,-1.099176
12.46,0,-1.09978
12.48,0,-1.099779
12.5,0,-1.084882
12.52,0,-1.078934
12.54,0,-1.086539
12.56,0,-1.086039
12.58,0,-1.079177
12.6,0,-1.078292
12.62,0,-1.069602
12.64,0,-1.074684
12.66,0,-1.075917
12.68,0,-1.080816
12.7,0,-1.067298
12.72,0,-1.078367
12.74,0,-1.075268
12.76,0,-1.070969
12.78,0,-1.065554
12.8,0,-1.080684
12.82,0,-1.077676
12.84,0,-1.064441
12.86,0,-1.069665
12.88,0,-1.083715
12.9,0,-1.078985
12.92,0,-1.08677
12.94,0,-1.078305
12.96,0,-1.074052
12.98,0,-1.09639
13,0,-1.108381
13.02,0,-1.097974
13.04,0,-1.094898
13.06,0,-1.078983
13.08,0,-1.081657
13.1,0,-1.080032
13.12,0,-1.073301
13.14,0,-1.078393
13.16,0,-1.070614
13.18,0,-1.07941
13.2,0,-1.067454
13.22,0,-1.065046
13.24,0,-1.071896
13.26,0,-1.08382
13.28,0,-1.080319
13.3,0,-1.071477
13.32,0,-1.069974
13.34,0,-1.074407
13.36,0,-1.073007
13.38,0,-1.069965
13.4,0,-1.071196
13.42,0,-1.07435
13.44,0,-1.079093
13.46,0,-1.077361
13.48,0,-1.086
13.5,0,-1.091968
13.52,0,-1.094594
13.54,0,-1.089744
13.56,0,-1.096879
13.58,0,-1.10681
13.6,0,-1.109295
13.62,0,-1.108363
13.64,0,-1.103998
13.66,0,-1.10249
13.68,0,-1.11553
13.7,0,-1.111739
13.72,0,-1.108139
13.74,0,-1.116012
13.76,0,-1.111463
13.78,0,-1.106614
13.8,0,-1.103812
13.82,0,-1.101254
13.84,0,-1.094135
13.86,0,-1.089904
13.88,0,-1.089226
13.9,0,-1.08297
13.92,0,-1.089776
13.94,0,-1.090511
13.96,0,-1.081246
13.98,0,-1.080811
14,0,-1.083961
14.02,-10,-1.085657
14.04,-10,-1.069493
14.06,-10,-1.344048
14.08,-10,-2.135567
14.1,-10,-2.81595
14.12,-10,-3.401788
14.14,-10,-4.064786
14.16,-10,-4.453891
14.18,-10,-4.594677
14.2,-10,-4.633101
14.22,-10,-4.669723
14.24,-10,-4.667634
14.26,-10,-4.664188
14.28,-10,-4.707338
14.3,-10,-4.655234
14.32,-10,-4.653866
14.34,-10,-4.674724
14.36,-10,-4.663136
14.38,-10,-4.671397
14.4,-10,-4.657113
14.42,-10,-4.645794
14.44,-10,-4.643483
14.46,-10,-4.619928
14.48,-10,-4.616924
14.5,-10,-4.603754
14.52,-10,-4.594247
14.54,-10,-4.591871
14.56,-10,-4.576887
14.58,-10,-4.573008
14.6,-10,-4.551804
14.62,-10,-4.554086
14.64,-10,-4.553194
14.66,-10,-4.543392
14.68,-10,-4.532857
14.7,-10,-4.532064
14.72,-10,-4.531726
14.74,-10,-4.52698
14.76,-10,-4.5309
14.78,-10,-4.527561
14.8,-10,-4.517908
14.82,-10,-4.515928
14.84,-10,-4.508401
14.86,-10,-4.504055
14.88,-10,-4.501429
14.9,-10,-4.50594
14.92,-10,-4.508667
14.94,-10,-4.513315
14.96,-10,-4.50373
14.98,-10,-4.49126
15,-10,-4.495158
15.02,-10,-4.487811
15.04,-10,-4.483252
15.06,-10,-4.478548
15.08,-10,-4.478471
15.1,-10,-4.487959
15.12,-10,-4.500163
15.14,-10,-4.504609
15.16,-10,-4.49754
15.18,-10,-4.493407
15.2,-10,-4.489772
15.22,-10,-4.485569
15.24,-10,-4.481429
15.26,-10,-4.483787
15.28,-10,-4.474228
15.3,-10,-4.474604
15.32,-10,-4.482528
15.34,-10,-4.475036
15.36,-10,-4.4802
15.38,-10,-4.48015
15.4,-10,-4.484788
15.42,-10,-4.475739
15.44,-10,-4.478479
15.46,-10,-4.479206
15.48,-10,-4.482466
15.5,-10,-4.478179
15.52,-10,-4.48158
15.54,-10,-4.473987
15.56,-10,-4.471737
15.58,-10,-4.468405
15.6,-10,-4.473783
15.62,-10,-4.476031
15.64,-10,-4.477043
15.66,-10,-4.480355
15.68,-10,-4.472739
15.7,-10,-4.467665
15.72,-10,-4.459098
15.74,-10,-4.462414
15.76,-10,-4.457417
15.78,-10,-4.452106
15.8,-10,-4.453856
15.82,-10,-4.459733
15.84,-10,-4.474047
15.86,-10,-4.479442
15.88,-10,-4.478717
15.9,-10,-4.480556
15.92,-10,-4.4884
15.94,-10,-4.487076
15.96,-10,-4.480825
15.98,-10,-4.480925
16,-10,-4.481899
16.02,-20,-4.479759
16.04,-20,-4.476254
16.06,-20,-4.487364
16.08,-20,-5.149328
16.1,-20,-6.110584
16.12,-20,-6.565199
16.14,-20,-7.190339
16.16,-20,-7.560535
16.18,-20,-7.847728
16.2,-20,-7.859672
16.22,-20,-7.918746
16.24,-20,-7.969109
16.26,-20,-7.964464
16.28,-20,-7.958538
16.3,-20,-7.919688
16.32,-20,-7.926231
16.34,-20,-7.898321
16.36,-20,-7.893355
16.38,-20,-7.88507
16.4,-20,-7.867279
16.42,-20,-7.851299
16.44,-20,-7.834093
16.46,-20,-7.817658
16.48,-20,-7.814176
16.5,-20,-7.802916
16.52,-20,-7.795247
16.54,-20,-7.787101
16.56,-20,-7.780275
16.58,-20,-7.77176
16.6,-20,-7.763944
16.62,-20,-7.761171
16.64,-20,-7.741385
16.66,-20,-7.740091
16.68,-20,-7.742166
16.7,-20,-7.75204
16.72,-20,-7.744701
16.74,-20,-7.737508
16.76,-20,-7.734941
16.78,-20,-7.727673
16.8,-20,-7.722258
16.82,-20,-7.722548
16.84,-20,-7.709022
16.86,-20,-7.714354
16.88,-20,-7.724051
16.9,-20,-7.718088
16.92,-20,-7.710566
16.94,-20,-7.711609
16.96,-20,-7.701511
16.98,-20,-7.69893
17,-20,-7.712694
17.02,-20,-7.711887
17.04,-20,-7.7096
17.06,-20,-7.705656
17.08,-20,-7.714676
17.1,-20,-7.71921
17.12,-20,-7.711507
17.14,-20,-7.698804
17.16,-20,-7.697591
17.18,-20,-7.699817
17.2,-20,-7.697872
17.22,-20,-7.708718
17.24,-20,-7.713042
17.26,-20,-7.711862
17.28,-20,-7.698972
17.3,-20,-7.690532
17.32,-20,-7.698625
17.34,-20,-7.694773
17.36,-20,-7.681175
17.38,-20,-7.685479
17.4,-20,-7.707644
17.42,-20,-7.709239
17.44,-20,-7.690892
17.46,-20,-7.672554
17.48,-20,-7.673887
17.5,-20,-7.678191
17.52,-20,-7.68409
17.54,-20,-7.68652
17.56,-20,-7.692399
17.58,-20,-7.704679
17.6,-20,-7.706522
17.62,-20,-7.706776
17.64,-20,-7.714051
17.66,-20,-7.711164
17.68,-20,-7.698861
17.7,-20,-7.696799
17.72,-20,-7.702339
17.74,-20,-7.71262
17.76,-20,-7.706836
17.78,-20,-7.709965
17.8,-20,-7.708336
17.82,-20,-7.704493
17.84,-20,-7.695975
17.86,-20,-7.70339
17.88,-20,-7.714086
17.9,-20,-7.714111
17.92,-20,-7.705811
17.94,-20,-7.716421
17.96,-20,-7.713734
17.98,-20,-7.718378
18,-20,-7.712975
18.02,-30,-7.70644
18.04,-30,-7.693909
18.06,-30,-8.028596
18.08,-30,-8.976681
18.1,-30,-9.469344
18.12,-30,-10.09705
18.14,-30,-10.58758
18.16,-30,-10.91192
18.18,-30,-11.05777
18.2,-30,-11.19547
18.22,-30,-11.31593
18.24,-30,-11.37519
18.26,-30,-11.39479
18.28,-30,-11.36703
18.3,-30,-11.37533
18.32,-30,-11.33514
18.34,-30,-11.32577
18.36,-30,-11.31159
18.38,-30,-11.29522
18.4,-30,-11.28879
18.42,-30,-11.27863
18.44,-30,-11.27137
18.46,-30,-11.26643
18.48,-30,-11.25474
18.5,-30,-11.24837
18.52,-30,-11.2394
18.54,-30,-11.23525
18.56,-30,-11.23042
18.58,-30,-11.22531
18.6,-30,-11.23862
18.62,-30,-11.22506
18.64,-30,-11.21006
18.66,-30,-11.19918
18.68,-30,-11.21863
18.7,-30,-11.2071
18.72,-30,-11.20088
18.74,-30,-11.19852
18.76,-30,-11.1997
18.78,-30,-11.20341
18.8,-30,-11.20479
18.82,-30,-11.19193
18.84,-30,-11.1982
18.86,-30,-11.1848
18.88,-30,-11.18113
18.9,-30,-11.16768
18.92,-30,-11.16377
18.94,-30,-11.17049
18.96,-30,-11.17245
18.98,-30,-11.17329
19,-30,-11.17602
19.02,-30,-11.16391
19.04,-30,-11.16005
19.06,-30,-11.15493
19.08,-30,-11.15238
19.1,-30,-11.15551
19.12,-30,-11.15415
19.14,-30,-11.15059
19.16,-30,-11.15454
19.18,-30,-11.15747
19.2,-30,-11.16156
19.22,-30,-11.15794
19.24,-30,-11.15016
19.26,-30,-11.15367
19.28,-30,-11.15054
19.3,-30,-11.14831
19.32,-30,-11.15746
19.34,-30,-11.16217
19.36,-30,-11.15554
19.38,-30,-11.16215
19.4,-30,-11.16534
19.42,-30,-11.15839
19.44,-30,-11.16133
19.46,-30,-11.16167
19.48,-30,-11.14966
19.5,-30,-11.15619
19.52,-30,-11.16606
19.54,-30,-11.17413
19.56,-30,-11.17524
19.58,-30,-11.16341
19.6,-30,-11.16939
19.62,-30,-11.16474
19.64,-30,-11.15964
19.66,-30,-11.16056
19.68,-30,-11.15387
19.7,-30,-11.14843
19.72,-30,-11.16217
19.74,-30,-11.1599
19.76,-30,-11.17511
19.78,-30,-11.17066
19.8,-30,-11.16136
19.82,-30,-11.15739
19.84,-30,-11.16968
19.86,-30,-11.17459
19.88,-30,-11.17142
19.9,-30,-11.1684
19.92,-30,-11.16851
19.94,-30,-11.1706
19.96,-30,-11.171
19.98,-30,-11.17935
20,-30,-11.18266
20.02,-20,-11.17406
20.04,-20,-11.17416
20.06,-20,-11.16188
20.08,-20,-10.37583
20.1,-20,-9.801867
20.12,-20,-9.129992
20.14,-20,-8.689128
20.16,-20,-8.152979
20.18,-20,-8.028385
20.2,-20,-7.876361
20.22,-20,-7.872872
20.24,-20,-7.793271
20.26,-20,-7.834448
20.28,-20,-7.796326
20.3,-20,-7.824735
20.32,-20,-7.836428
20.34,-20,-7.839702
20.36,-20,-7.859487
20.38,-20,-7.869223
20.4,-20,-7.885395
20.42,-20,-7.897642
20.44,-20,-7.898938
20.46,-20,-7.911742
20.48,-20,-7.925152
20.5,-20,-7.938337
20.52,-20,-7.9453
20.54,-20,-7.950202
20.56,-20,-7.970827
20.58,-20,-7.976369
20.6,-20,-7.985716
20.62,-20,-7.976092
20.64,-20,-7.987289
20.66,-20,-8.006296
20.68,-20,-8.007872
20.7,-20,-8.005851
20.72,-20,-7.995533
20.74,-20,-7.999363
20.76,-20,-7.998479
20.78,-20,-8.001339
20.8,-20,-8.005582
20.82,-20,-8.009067
20.84,-20,-8.014169
20.86,-20,-8.01988
20.88,-20,-8.016536
20.9,-20,-8.015806
20.92,-20,-8.014894
20.94,-20,-8.013173
20.96,-20,-8.038482
20.98,-20,-8.03203
21,-20,-8.037267
21.02,-20,-8.041829
21.04,-20,-8.036652
21.06,-20,-8.034146
21.08,-20,-8.035488
21.1,-20,-8.0222
21.12,-20,-8.011829
21.14,-20,-8.015586
21.16,-20,-8.024429
21.18,-20,-8.030974
21.2,-20,-8.033324
21.22,-20,-8.034297
21.24,-20,-8.039324
21.26,-20,-8.035811
21.28,-20,-8.038879
21.3,-20,-8.031739
21.32,-20,-8.043842
21.34,-20,-8.051963
21.36,-20,-8.055586
21.38,-20,-8.054575
21.4,-20,-8.043592
21.42,-20,-8.035661
21.44,-20,-8.02769
21.46,-20,-8.023637
21.48,-20,-8.025085
21.5,-20,-8.037617
21.52,-20,-8.031658
21.54,-20,-8.035762
21.56,-20,-8.029499
21.58,-20,-8.036799
21.6,-20,-8.029882
21.62,-20,-8.026803
21.64,-20,-8.027376
21.66,-20,-8.025547
21.68,-20,-8.025146
21.7,-20,-8.025091
21.72,-20,-8.015719
21.74,-20,-8.018652
21.76,-20,-8.02926
21.78,-20,-8.032512
21.8,-20,-8.028086
21.82,-20,-8.017823
21.84,-20,-8.003996
21.86,-20,-7.999069
21.88,-20,-8.00925
21.9,-20,-8.014411
21.92,-20,-8.022003
21.94,-20,-8.019444
21.96,-20,-8.029388
21.98,-20,-8.032241
22,-20,-8.031246
22.02,-10,-8.032151
22.04,-10,-8.018386
22.06,-10,-8.043383
22.08,-10,-7.481815
22.1,-10,-6.636805
22.12,-10,-6.146611
22.14,-10,-5.618
22.16,-10,-5.198296
22.18,-10,-4.735385
22.2,-10,-4.685281
22.22,-10,-4.460995
22.24,-10,-4.520459
22.26,-10,-4.485114
22.28,-10,-4.530447
22.3,-10,-4.498961
22.32,-10,-4.511697
22.34,-10,-4.516761
