Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
1.54,0,-2.478188,-2.479189,-1.909152,7.950429,-12.13001,-12.42292,21.07729
1.56,0,-2.46426,-2.258316,-2.367168,13.03098,-13.14221,-12.47193,-33.54353
1.58,0,-2.420693,-2.034163,3.373292,16.29326,-11.65765,-12.30847,48.44652
1.6,0,-2.140337,-1.740041,15.66337,17.59446,-11.92757,-11.92917,28.52302
1.62,0,-1.215832,-1.171977,58.0756,15.56006,-11.38773,-11.48684,39.26251
1.64,0,0.151217,-0.3244053,64.83896,9.907555,-11.65765,-11.09132,3.633904
1.66,0,1.311102,0.5309837,65.48019,2.492924,-11.05033,-10.72382,15.12717
1.68,0,1.93211,1.137237,21.73971,-4.404879,-11.72513,-10.61281,-41.07291
1.7,0,1.122132,1.019859,-52.97787,-6.458427,-10.98285,-10.6964,-11.73412
1.72,0,0.4337371,0.6348574,-35.13054,-5.667048,-11.05033,-10.77789,-14.05127
1.74,0,0.03799556,0.2713608,-10.07709,-3.898679,-11.38773,-10.98402,-30.34258
1.76,0,0.5246896,0.3029507,23.75498,-4.252562,-11.32025,-11.14278,-17.52536
1.78,0,0.9127932,0.4758097,27.40384,-5.710004,-12.46741,-11.50537,-70.99445
1.8,0,1.403871,0.7512163,23.35803,-8.225315,-10.78041,-11.51931,36.13589
1.82,0,1.860069,1.050886,22.3046,-11.33764,-10.78041,-11.12817,38.80096
1.84,0,2.216948,1.312681,17.19009,-14.53639,-10.71293,-10.78639,22.65333
1.86,0,2.395052,1.477828,8.96108,-17.23113,-10.78041,-10.61053,0.7115935
1.88,0,2.302325,1.485493,-5.588543,-18.73827,-10.78041,-10.5936,-10.00074
1.9,0,2.127302,1.391922,-8.809917,-19.19489,-10.78041,-10.65967,-12.62722
1.92,0,1.936217,1.253289,-8.275566,-18.90067,-11.59017,-10.96664,-53.96609
1.94,0,1.757522,1.107552,-8.870986,-18.14349,-11.32025,-11.3098,-25.91185
1.96,0,1.533262,0.9466091,-11.02366,-16.93385,-11.38773,-11.51457,-12.28747
1.98,0,1.314194,0.7869515,-10.88625,-15.43839,-11.38773,-11.63247,-1.699715
2,0,1.125221,0.6452586,-9.191597,-13.84656,-11.32025,-11.66614,8.438548
2.02,-200,0.9579245,0.306421,-8.641978,-32.66235,-11.32025,-11.65203,10.35312
2.04,-200,0.8313147,-0.2449689,-5.435872,-44.84386,-11.32025,-11.62486,8.963737
2.06,-200,0.7978055,-0.7646418,-3.92442,-52.88728,-11.38773,-11.59719,3.30822
2.08,-200,0.08699528,-1.479874,-45.26794,-56.03406,-11.32025,-11.60771,4.4976
2.1,-200,-1.087612,-2.41446,-62.79466,-54.45202,-11.32025,-11.66301,4.210828
2.12,-200,-2.205297,-3.367723,-58.79466,-49.89159,-11.32025,-11.72805,6.91805
2.14,-200,-3.115026,-4.195374,-48.71833,-43.995,-11.32025,-11.75672,11.17388
2.16,-200,-3.951223,-4.901105,-47.16108,-37.43503,-11.32025,-11.74116,14.39932
2.18,-200,-4.909189,-5.579293,-48.64199,-30.0467,-10.71293,-11.54469,48.22422
2.2,-200,-5.581289,-6.109746,-32.76413,-23.00407,-10.78041,-11.24361,38.03853
2.22,-200,-6.023166,-6.468851,-16.44351,-16.91483,-11.05033,-11.06124,11.17127
2.24,-200,-5.939861,-6.530871,9.037416,-13.11156,-9.83569,-10.61195,69.37733
2.26,-200,-5.533326,-6.332987,23.14429,-11.85028,-11.05033,-10.28278,-14.14322
2.28,-200,-5.067369,-6.008941,25.2359,-12.46775,-5.989328,-8.928267,240.3522
2.3,-200,-4.667892,-5.674969,11.02215,-14.13533,-9.565769,-7.845053,-12.49107
2.32,-200,-4.798497,-5.573223,-10.71832,-14.83581,-10.98285,-8.313856,-147.7844
2.34,-200,-4.922282,-5.580107,-5.344268,-14.91188,-9.025928,-8.710385,-24.29466
2.36,-200,-4.881264,-5.568112,-2.03129,-15.09191,-9.565769,-8.740979,-32.23232
2.38,-200,-4.918207,-5.579839,-9.496941,-15.09574,-9.363329,-8.75428,-20.61089
2.4,-200,-5.048542,-5.6404,-9.573277,-14.68728,-7.20397,-8.169415,95.20574
2.42,-200,-5.188777,-5.725394,-6.550376,-13.97468,-7.878769,-7.473614,31.8479
2.44,-200,-5.264911,-5.792095,-7.878621,-13.26048,-7.878769,-7.155635,-4.546758
2.46,-200,-5.444515,-5.891674,-5.206864,-12.2191,-7.541368,-6.970558,-4.050991
2.48,-200,-5.497587,-5.951327,-1.313733,-11.35766,-7.608849,-6.851916,-17.76484
2.5,-200,-5.445503,-5.948225,0.8389403,-10.94657,-7.473888,-6.77527,-17.3975
2.52,0,-5.331201,-5.674454,-1.817549,9.373143,-6.529169,-6.460429,29.35363
2.54,0,-5.456269,-5.238644,-2.916786,23.35038,-6.529169,-6.062184,15.33767
2.56,0,-5.21894,-4.667937,-0.3824344,31.95214,-4.36981,-5.224663,111.6099
2.58,0,-4.791368,-4.033216,24.86948,36.36314,-4.639729,-4.279446,57.82843
2.6,0,-3.485047,-3.067169,62.9611,35.21095,-3.08769,-3.251778,92.92958
2.62,0,-2.554639,-2.167433,57.87712,31.52663,-3.357609,-2.395517,26.60613
2.64,0,-1.231185,-1.182674,63.92293,24.91334,-2.75029,-1.793962,12.80217
