Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
2.8,-6.462818,0,0,0.2443848,0.09900738,0.2587874,-4.448183,-0.05108929,-0.03984536,-0.1118311,7928
2.82,-12.33009,0,0,0.2510357,0.0961289,0.2282531,-4.374147,-0.1185694,-0.09087348,-0.3211385,7936
2.84,-12.16292,0,0,0.2421041,0.08702194,0.2129859,-4.892653,-0.1185694,-0.1059903,-0.3913633,7912
2.86,1.270213,0,0,0.2456219,0.08330677,0.1366499,-5.215138,0.0163908,0.001112752,0.1274446,7936
2.88,-10.14611,0,0,0.2420846,0.07863531,0.1061156,-4.071231,-0.1185694,-0.07822952,-0.2625304,7936
2.9,-11.90571,0,0,0.246612,0.08921948,0.1519171,-4.475219,-0.1185694,-0.09922993,-0.2769046,7936
2.92,-11.15296,0,0,0.2415796,0.0830444,0.1061156,-4.912336,-0.1185694,-0.1061404,-0.3151731,7928
2.94,-9.96674,0,0,0.240484,0.07376999,0.1213828,-5.121895,-0.1185694,-0.1071983,-0.2974996,7944
2.96,-3.064758,0,0,0.2433664,0.07234709,-0.0007547362,-5.139569,-0.05108929,-0.05076805,0.002053857,7932
2.98,-8.900545,0,0,0.2410695,0.07235453,0.06031401,-4.451684,-0.1185694,-0.0893623,-0.1730179,7948
3,-9.99835,0,0,0.2474756,0.08265117,0.1366499,-4.601681,-0.1185694,-0.09893946,-0.152916,7940
3.02,-566.3201,8,0,0.2430883,0.08115807,0.01451245,-4.804283,-0.1185694,-0.1027695,-0.1832347,7936
3.04,-421.5754,8,0,0.2414459,-0.5260407,0.1366499,-61.68401,-0.05108929,-0.05933829,-1.598593,7952
3.06,-320.085,8,0,0.1151268,-1.636048,-11.35954,-84.38323,-0.1185694,-0.09302225,-3.897511,7944
3.08,-237.7042,8,0,-0.5346502,-2.714458,-38.94733,-86.99951,-0.05108929,-0.04132238,-4.862854,7916
3.1,-271.5513,8,0,-1.696635,-3.803048,-62.91681,-76.8299,-1.06329,-0.8887883,-9.798328,7928
3.12,-107.4211,8,0,-3.207686,-4.866713,-79.45116,-68.7019,0.2188301,-0.1518012,-7.026923,7976
3.14,-45.0993,8,0,-4.481514,-5.727315,-57.61909,-42.66798,0.2863102,0.09529709,-5.253766,7896
3.16,-54.04526,8,0,-5.520097,-6.183799,-47.31375,-15.77159,-0.05108929,-0.0965753,-3.981464,7896
3.18,-88.1991,8,0,-5.507704,-5.936701,10.19772,1.391903,-0.4559698,-0.3437276,0.4223402,7932
3.2,-118.2518,8,0,-5.20096,-5.41807,19.29696,8.435804,-0.7258892,-0.5212852,4.508108,7948
3.22,-73.56836,8,0,-4.363851,-4.62141,38.67102,7.635354,-0.1185694,0.06031188,12.11377,7948
3.24,-21.8493,8,0,-3.82682,-3.953651,19.28169,9.903785,0.6237106,0.8649415,17.44417,7916
3.26,9.153503,8,0,-3.482104,-3.399767,16.45727,15.49527,1.298511,1.62182,20.55457,7880
