Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
2.02,-14.19873,0,0,0.2238834,-0.03565747,0.1519171,-7.340043,-0.4559698,-0.4204787,0.3140972,7932
2.04,-9.041643,0,0,0.2225121,-0.02654912,0.6404669,-6.960663,-0.3884897,-0.3628345,0.5749965,7940
2.06,-16.38748,0,0,0.2375844,-0.007919326,0.02977964,-6.237625,-0.4559698,-0.4004785,0.4175591,7936
2.08,-12.52725,0,0,0.2459224,0.01289548,0.7473372,-6.523798,-0.3884897,-0.3575875,0.5983818,7960
2.1,-25.35174,0,0,0.2635705,0.02302877,0.1213828,-6.39386,-0.5234499,-0.455649,0.1193717,7952
2.12,-14.01776,0,0,0.2463533,0.01585189,-0.5045714,-7.549385,-0.3884897,-0.3783562,0.3661744,7948
2.14,-18.18962,0,0,0.2327907,-0.007724769,-0.1381594,-7.138299,-0.4559698,-0.4139473,0.07972133,7940
2.16,-24.40417,0,0,0.2257818,-0.0203853,-0.4587703,-7.264526,-0.5234499,-0.4781922,-0.2006315,7948
2.18,-17.43103,0,0,0.2220491,-0.03082305,-1.084725,-7.956126,-0.4559698,-0.4401954,0.01686096,7944
2.2,-15.57907,0,0,0.2213043,-0.04103965,0.5641309,-7.704805,-0.4559698,-0.4276915,0.1002522,7936
2.22,-21.3013,0,0,0.2038588,-0.0522078,-0.9320526,-7.303032,-0.5234499,-0.479653,-0.1372035,7948
2.24,-21.23006,0,0,0.2139139,-0.04850471,0.04504682,-7.637846,-0.5234499,-0.4905715,-0.0560385,7944
2.26,-14.32518,0,0,0.2393036,-0.03494297,0.5335966,-7.919344,-0.4559698,-0.4338924,0.3376412,7940
2.28,-13.80555,0,0,0.2155884,-0.04219271,-0.3366328,-7.346578,-0.4559698,-0.4218369,0.296204,7948
2.3,-20.72611,0,0,0.2249877,-0.03329562,0.5335966,-6.941848,-0.5234499,-0.4713107,0.1325592,7936
2.32,-15.50699,0,0,0.2281833,-0.02363946,0.3351234,-7.378627,-0.4559698,-0.4304027,0.3482734,7956
2.34,-15.07631,0,0,0.2293152,-0.02238423,0.2435202,-7.14826,-0.4559698,-0.4196775,0.3632388,7956
2.36,-21.78689,0,0,0.2358052,-0.01734135,0.304589,-6.976072,-0.5234499,-0.4710414,0.1387209,7944
2.38,-22.21549,0,0,0.2340653,-0.01847276,0.2129859,-7.537754,-0.5234499,-0.4863235,0.06820703,7940
2.4,-21.13865,0,0,0.2372408,-0.02629282,0.1977187,-7.963958,-0.5234499,-0.4899547,0.06258136,7948
