Tiempo,ControlPWM,ThetaSimulado,ThetaObservado,OmegaSimulado,OmegaObservado,PosicionSimulado,PosicionObservado,VelocidadSimulado,VelocidadObservado
1.8135,-2.49652792982874,-0.127224551689322,-0.127224551689322,0.689917185600083,0.689917185600083,-0.584110409009305,-0.584110409009305,2.95072751487816,2.95072751487816
1.8136,-2.49516641749516,-0.127155578659122,-0.127155578659122,0.689543452915362,0.689543452915362,-0.583815408470992,-0.583815408470992,2.94928336337747,2.94928336337747
1.8137,-2.49380565398668,-0.127086642991838,-0.127086642991838,0.689169927257599,0.689169927257599,-0.583520552314232,-0.583520552314232,2.94783988379568,2.94783988379568
1.8138,-2.49244563888939,-0.127017744666774,-0.127017744666774,0.688796608499492,0.688796608499492,-0.583225840471845,-0.583225840471845,2.94639707584976,2.94639707584976
1.8139,-2.49108637178962,-0.126948883663246,-0.126948883663246,0.68842349651383,0.68842349651383,-0.582931272876683,-0.582931272876683,2.94495493925673,2.94495493925673
1.814,-2.48972785227386,-0.126880059960583,-0.126880059960583,0.688050591173494,0.688050591173494,-0.582636849461625,-0.582636849461625,2.94351347373376,2.94351347373376
1.8141,-2.48837007992886,-0.126811273538127,-0.126811273538127,0.687677892351459,0.687677892351459,-0.582342570159577,-0.582342570159577,2.94207267899805,2.94207267899805
1.8142,-2.48701305434154,-0.126742524375233,-0.126742524375233,0.68730539992079,0.68730539992079,-0.582048434903475,-0.582048434903475,2.94063255476691,2.94063255476691
1.8143,-2.48565677509907,-0.126673812451268,-0.126673812451268,0.686933113754647,0.686933113754647,-0.581754443626283,-0.581754443626283,2.93919310075776,2.93919310075776
1.8144,-2.48430124178878,-0.126605137745611,-0.126605137745611,0.686561033726282,0.686561033726282,-0.581460596260992,-0.581460596260992,2.93775431668807,2.93775431668807
1.8145,-2.48294645399828,-0.126536500237656,-0.126536500237656,0.686189159709038,0.686189159709038,-0.581166892740624,-0.581166892740624,2.93631620227542,2.93631620227542
1.8146,-2.48159241131532,-0.126467899906806,-0.126467899906806,0.685817491576352,0.685817491576352,-0.580873332998225,-0.580873332998225,2.93487875723747,2.93487875723747
1.8147,-2.48023911332791,-0.126399336732482,-0.126399336732482,0.685446029201751,0.685446029201751,-0.580579916966873,-0.580579916966873,2.93344198129197,2.93344198129197
1.8148,-2.47888655962425,-0.126330810694112,-0.126330810694112,0.685074772458856,0.685074772458856,-0.580286644579673,-0.580286644579673,2.93200587415675,2.93200587415675
1.8149,-2.47753474979275,-0.12626232177114,-0.12626232177114,0.68470372122138,0.68470372122138,-0.579993515769757,-0.579993515769757,2.93057043554975,2.93057043554975
1.815,-2.47618368342205,-0.126193869943021,-0.126193869943021,0.684332875363127,0.684332875363127,-0.579700530470288,-0.579700530470288,2.92913566518897,2.92913566518897
