Tiempo,ControlPWM,ThetaSimulado,ThetaObservado,OmegaSimulado,OmegaObservado,PosicionSimulado,PosicionObservado,VelocidadSimulado,VelocidadObservado
3.4499,0.500466112111532,0.0255195436145599,0.0255195436145599,-0.138839915140768,-0.138839915140768,0.127378313388716,0.127378313388716,-0.664936352801048,-0.664936352801048
3.45,0.500194009602868,0.0255056634029512,0.0255056634029512,-0.138764323898545,-0.138764323898545,0.127311836837258,0.127311836837258,-0.664594704942686,-0.664594704942686
3.4501,0.499922054857922,0.0254917907484073,0.0254917907484073,-0.138688773842896,-0.138688773842896,0.127245394442011,0.127245394442011,-0.664253228585058,-0.664253228585058
3.4502,0.499650247796767,0.0254779256468105,0.0254779256468105,-0.138613264951577,-0.138613264951577,0.127178986185827,0.127178986185827,-0.663911923645158,-0.663911923645158
3.4503,0.499378588339528,0.0254640680940455,0.0254640680940455,-0.138537797202355,-0.138537797202355,0.127112612051571,0.127112612051571,-0.663570790040023,-0.663570790040023
3.4504,0.499107076406371,0.0254502180859994,0.0254502180859994,-0.138462370573006,-0.138462370573006,0.127046272022111,0.127046272022111,-0.663229827686725,-0.663229827686725
3.4505,0.498835711917506,0.025436375618561,0.025436375618561,-0.13838698504132,-0.13838698504132,0.126979966080328,0.126979966080328,-0.662889036502373,-0.662889036502373
3.4506,0.498564494793191,0.0254225406876219,0.0254225406876219,-0.138311640585098,-0.138311640585098,0.126913694209108,0.126913694209108,-0.662548416404115,-0.662548416404115
3.4507,0.498293424953717,0.0254087132890756,0.0254087132890756,-0.138236337182151,-0.138236337182151,0.126847456391347,0.126847456391347,-0.662207967309138,-0.662207967309138
3.4508,0.498022502319417,0.0253948934188178,0.0253948934188178,-0.138161074810303,-0.138161074810303,0.126781252609949,0.126781252609949,-0.661867689134665,-0.661867689134665
3.4509,0.497751726810684,0.0253810810727465,0.0253810810727465,-0.138085853447388,-0.138085853447388,0.126715082847825,0.126715082847825,-0.661527581797958,-0.661527581797958
