Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
2.88,200,5.854787,5.881191,-3.893131,4.371609
2.9,200,5.853209,5.891279,-3.908398,5.293991
2.92,200,5.848614,5.879233,-3.923666,4.744166
2.94,200,5.856886,5.912349,-3.938933,6.62648
2.96,200,5.851117,5.875632,-3.908398,4.249433
2.98,200,5.858386,5.912952,-3.862597,6.545925
3,200,5.845607,5.857729,-3.938933,3.320295
3.02,200,5.84573,5.890969,-3.893131,5.907035
3.04,200,5.842633,5.875509,-3.908398,4.962599
3.06,200,5.844158,5.888107,-3.9542,5.81694
3.08,200,5.844245,5.883213,-3.923666,5.427032
3.1,200,5.858545,5.923573,-3.862597,7.361679
3.12,200,5.856901,5.886526,-3.893131,4.607471
3.14,200,5.84791,5.871943,-3.832062,4.234809
3.16,200,5.847772,5.889832,-4.000001,5.644014
3.18,200,5.846661,5.883388,-3.923666,5.234988
3.2,200,5.845626,5.883714,-3.923666,5.348736
3.22,200,5.841031,5.872712,-3.938933,4.880763
3.24,200,5.846414,5.89764,-3.877864,6.369427
3.26,200,5.844009,5.876792,-3.877864,4.945573
3.28,200,5.841299,5.8776,-3.9542,5.239795
3.3,200,5.839755,5.877791,-3.938933,5.386166
3.32,200,5.837147,5.873175,-3.480917,5.247682
3.34,200,5.882795,6.004719,-1.633588,11.6346
3.36,200,5.854439,5.822036,-4.198475,-0.2211323
3.38,200,5.852365,5.901443,-4.213742,6.160796
3.4,200,5.848352,5.877917,-3.832062,4.663442
3.42,200,5.849901,5.893751,-3.801528,5.768671
3.44,200,5.854094,5.899512,-3.9542,5.861352
3.46,200,5.85605,5.89661,-4.030536,5.468052
3.48,200,5.856036,5.893825,-3.847329,5.251709
3.5,200,5.85445,5.890028,-3.816795,5.090294
3.52,200,5.858874,5.905724,-3.877864,5.939554
3.54,200,5.863519,5.90786,-3.984734,5.710621
3.56,200,5.864049,5.90098,-3.877864,5.127991
3.58,200,5.855903,5.878949,-3.893131,4.101111
3.6,200,5.855556,5.896315,-3.847329,5.4874
3.62,200,5.860258,5.906402,-3.923666,5.874565
3.64,200,5.854715,5.881031,-3.938933,4.364816
3.66,200,5.862355,5.916706,-3.908398,6.501066
3.68,200,5.86047,5.891292,-3.877864,4.675944
3.7,200,5.8549,5.884225,-4.000001,4.598808
3.72,200,5.856606,5.899861,-3.893131,5.674935
3.74,200,5.862237,5.909368,-3.893131,5.937547
3.76,200,5.877524,5.940103,-3.893131,7.036177
3.78,200,5.873898,5.897836,-3.923666,4.043266
3.8,200,5.867364,5.894478,-3.862597,4.338191
3.82,200,5.861287,5.889502,-3.908398,4.467036
3.84,200,5.867948,5.919267,-3.9542,6.224704
3.86,200,5.867542,5.900794,-3.938933,4.815842
3.88,200,5.854098,5.868045,-3.938933,3.403227
3.9,200,5.850017,5.886281,-3.893131,5.175603
3.92,200,5.855448,5.904571,-3.969467,6.141304
3.94,200,5.85764,5.89768,-3.893131,5.416112
3.96,200,5.857945,5.896174,-3.847329,5.272665
3.98,200,5.847869,5.868114,-3.923666,3.939053
4,200,5.849654,5.895872,-3.938933,5.955605
4.02,0,5.854549,5.900769,-3.9542,-37.75932
4.04,0,5.85279,5.012969,-3.923666,-106.9468
4.06,0,5.700246,4.773666,-16.24428,-112.6301
4.08,0,4.94439,2.992946,-47.57253,-187.3415
4.1,0,3.644618,1.047337,-75.90842,-228.5875
4.12,0,2.321071,-0.003813028,-80.33591,-197.9486
4.14,0,0.8168991,-1.694337,-81.67942,-201.8834
4.16,0,-0.4908571,-2.405585,-42.22902,-146.0478
4.18,0,-0.01156184,1.290539,9.145041,101.8237
4.2,0,0.07603426,-0.02987909,-4.702291,-8.833389
4.22,0,-0.04429205,-0.2463843,-12.25955,-15.47073
4.24,0,-0.2154955,-0.4704223,-13.63359,-18.38647
4.26,0,-0.2220451,-0.1516371,-4.961833,7.072796
4.28,0,-0.2506691,-0.2839055,-6.870231,-0.826519
4.3,0,-0.2800283,-0.2897193,-7.251911,1.22189
4.32,0,-0.2888411,-0.262854,-6.44275,4.070559
4.34,0,-0.3107439,-0.3138104,-5.832063,1.955262
4.36,0,-0.3388118,-0.3438091,-6.106872,2.003256
4.38,0,-0.3384539,-0.2889423,-5.007635,6.258483
4.4,0,-0.3271022,-0.2692465,-4.091604,6.82907
4.42,0,-0.3004398,-0.2188835,-4.015268,8.491834
4.44,0,-0.2788193,-0.2147093,-3.908398,6.975926
4.46,0,-0.2589533,-0.1974812,-4.152673,6.629851
4.48,0,-0.2469113,-0.2015089,-3.801528,5.289614
4.5,0,-0.229628,-0.1734377,-3.984734,6.010444
4.52,0,-0.2106854,-0.1561813,-3.877864,5.744726
4.54,0,-0.197376,-0.1551488,-3.877864,4.691776
4.56,0,-0.1901584,-0.1580798,-3.923666,3.848298
4.58,0,-0.1728331,-0.121892,-3.908398,5.199443
4.6,0,-0.157273,-0.1156962,-3.893131,4.357734
4.62,0,-0.144001,-0.1067761,-3.862597,3.924213
4.64,0,-0.1380481,-0.1147276,-3.877864,2.796152
4.66,0,-0.1435745,-0.1385374,-3.969467,1.407318
4.68,0,-0.1364583,-0.1046445,-3.908398,3.448917
4.7,0,-0.1338459,-0.1163788,-3.938933,2.309349
4.72,0,-0.1250595,-0.09418541,-3.877864,3.294767
4.74,0,-0.1249868,-0.1134252,-3.938933,1.785507
4.76,0,-0.1165129,-0.08624947,-3.9542,3.18679
4.78,0,-0.1029025,-0.06854254,-3.877864,3.410286
4.8,0,-0.1129609,-0.1231091,-3.938933,0.004715443
