Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
3.08,-107.523,3.813067,7.97903,-2.97903,6412
3.1,-110.5913,3.832557,8.24895,-3.24895,6404
3.12,-116.8352,3.770513,8.24895,-3.24895,6400
3.14,-120.1734,3.690088,8.51887,-3.51887,6396
3.16,-95.00547,3.647587,7.64163,-2.64163,6372
3.18,-97.09527,3.599685,7.84407,-2.84407,6436
3.2,-104.3852,3.509461,7.91155,-2.91155,6416
3.22,-113.7966,3.451955,8.31643,-3.31643,6424
3.24,-82.42045,3.416395,7.30423,-2.30423,6400
3.26,-88.45782,3.393361,7.57415,-2.57415,6460
3.28,-58.19512,3.374227,6.62943,-1.62943,6440
3.3,-101.3802,3.27058,7.91155,-2.91155,6508
3.32,-68.89071,3.177444,6.96683,-1.96683,6424
3.34,-80.7651,2.928112,7.30423,-2.30423,6476
3.36,-80.53101,3.006346,7.30423,-2.30423,6460
3.38,-92.7428,2.802075,7.64163,-2.64163,6456
3.4,-92.17131,2.815552,7.64163,-2.64163,6440
3.42,-56.80969,2.753969,6.62943,-1.62943,6436
3.44,-59.64594,2.859506,6.69691,-1.69691,6504
3.46,-68.71992,2.814702,6.96683,-1.96683,6500
3.48,-68.95819,2.651675,6.96683,-1.96683,6468
3.5,-71.11546,2.499141,7.03431,-2.03431,6468
3.52,-68.89071,2.382261,6.96683,-1.96683,6476
3.54,-71.18295,2.327278,7.03431,-2.03431,6488
3.56,-73.61432,2.338203,7.10179,-2.10179,6512
3.58,-71.11546,2.34478,7.03431,-2.03431,6484
3.6,-71.28625,2.345519,7.03431,-2.03431,6476
3.62,-71.11546,2.338961,7.03431,-2.03431,6460
3.64,-71.28625,2.339849,7.03431,-2.03431,6464
3.66,-71.11546,2.319061,7.03431,-2.03431,6484
3.68,-68.89071,2.304342,6.96683,-1.96683,6476
3.7,-71.18295,2.297596,7.03431,-2.03431,6488
3.72,-68.82323,2.292617,6.96683,-1.96683,6496
3.74,-73.64597,2.283124,7.10179,-2.10179,6496
3.76,-68.68827,2.270135,6.96683,-1.96683,6480
3.78,-68.98985,2.271572,6.96683,-1.96683,6480
3.8,-73.47936,2.270465,7.10179,-2.10179,6496
3.82,-71.25043,2.27349,7.03431,-2.03431,6492
3.84,-66.36021,2.271203,6.89935,-1.89935,6488
3.86,-68.98985,2.26122,6.96683,-1.96683,6484
3.88,-68.68827,2.2443,6.96683,-1.96683,6488
3.9,-71.38538,2.252361,7.03431,-2.03431,6472
3.92,-71.01633,2.245687,7.03431,-2.03431,6488
3.94,-71.38538,2.245878,7.03431,-2.03431,6480
3.96,-71.01633,2.236083,7.03431,-2.03431,6464
3.98,-68.98985,2.224106,6.96683,-1.96683,6476
4,-68.68827,2.222581,6.96683,-1.96683,6484
4.02,-71.38538,2.208398,7.03431,-2.03431,6464
4.04,-71.01633,2.210963,7.03431,-2.03431,6496
4.06,-71.38538,2.211898,7.03431,-2.03431,6484
4.08,-68.62079,2.202764,6.96683,-1.96683,6472
4.1,-69.05733,2.201478,6.96683,-1.96683,6488
4.12,-71.01633,2.193614,7.03431,-2.03431,6480
4.14,-66.5943,2.194376,6.89935,-1.89935,6496
4.16,-71.15129,2.190437,7.03431,-2.03431,6500
4.18,-71.25043,2.189963,7.03431,-2.03431,6496
4.2,-68.75575,2.191973,6.96683,-1.96683,6472
4.22,-66.52682,2.185553,6.89935,-1.89935,6480
4.24,-66.42769,2.192899,6.89935,-1.89935,6484
4.26,-68.92236,2.195344,6.96683,-1.96683,6476
4.28,-68.75575,2.202126,6.96683,-1.96683,6488
4.3,-68.92236,2.203594,6.96683,-1.96683,6476
4.32,-71.15129,2.201434,7.03431,-2.03431,6468
4.34,-71.25043,2.200699,7.03431,-2.03431,6480
4.36,-66.36021,2.205498,6.89935,-1.89935,6480
4.38,-68.98985,2.204584,6.96683,-1.96683,6484
4.4,-66.29273,2.213395,6.89935,-1.89935,6484
4.42,-69.05733,2.222755,6.96683,-1.96683,6488
4.44,-71.01633,2.222238,7.03431,-2.03431,6468
4.46,-68.98985,2.220818,6.96683,-1.96683,6500
4.48,-68.68827,2.228753,6.96683,-1.96683,6472
4.5,-68.98985,2.225794,6.96683,-1.96683,6464
4.52,-68.68827,2.222992,6.96683,-1.96683,6492
4.54,-68.98985,2.214344,6.96683,-1.96683,6484
4.56,-71.08382,2.210959,7.03431,-2.03431,6472
4.58,-66.52682,2.208379,6.89935,-1.89935,6496
4.6,-68.82323,2.201136,6.96683,-1.96683,6508
4.62,-68.85488,2.207391,6.96683,-1.96683,6492
4.64,-71.21877,2.201693,7.03431,-2.03431,6488
4.66,-68.78741,2.200867,6.96683,-1.96683,6500
4.68,-68.89071,2.200318,6.96683,-1.96683,6480
4.7,-66.39186,2.194356,6.89935,-1.89935,6464
4.72,-66.56265,2.194555,6.89935,-1.89935,6476
4.74,-68.78741,2.194092,6.96683,-1.96683,6468
4.76,-66.49517,2.204633,6.89935,-1.89935,6484
4.78,-71.25043,2.208915,7.03431,-2.03431,6492
4.8,-71.15129,2.213038,7.03431,-2.03431,6476
4.82,-66.45934,2.210181,6.89935,-1.89935,6468
4.84,-66.49517,2.204727,6.89935,-1.89935,6488
4.86,-71.25043,2.202835,7.03431,-2.03431,6480
4.88,-68.75575,2.209569,6.96683,-1.96683,6488
4.9,-66.52682,2.197377,6.89935,-1.89935,6492
4.92,-68.82323,2.20022,6.96683,-1.96683,6480
4.94,-66.45934,2.207183,6.89935,-1.89935,6480
4.96,-66.49517,2.204924,6.89935,-1.89935,6476
4.98,-66.45934,2.202168,6.89935,-1.89935,6472
5,-68.89071,2.204111,6.96683,-1.96683,6476
5.02,-68.78741,2.198135,6.96683,-1.96683,6496
5.04,-71.28625,2.208132,7.03431,-2.03431,6476
5.06,-66.32438,2.204967,6.89935,-1.89935,6476
5.08,-69.02567,2.212587,6.96683,-1.96683,6492
5.1,-71.04798,2.210297,7.03431,-2.03431,6484
5.12,-68.95819,2.205682,6.96683,-1.96683,6496
5.14,-68.71992,2.209919,6.96683,-1.96683,6492
5.16,-68.95819,2.221196,6.96683,-1.96683,6464
5.18,-66.32438,2.223537,6.89935,-1.89935,6472
5.2,-69.02567,2.224384,6.96683,-1.96683,6476
5.22,-71.04798,2.216009,7.03431,-2.03431,6472
5.24,-66.56265,2.218311,6.89935,-1.89935,6496
5.26,-71.18295,2.218774,7.03431,-2.03431,6508
5.28,-68.82323,2.225856,6.96683,-1.96683,6480
5.3,-68.85488,2.22377,6.96683,-1.96683,6484
5.32,-66.42769,2.227503,6.89935,-1.89935,6496
5.34,-66.52682,2.220649,6.89935,-1.89935,6504
5.36,-68.82323,2.228521,6.96683,-1.96683,6496
5.38,-68.85488,2.223572,6.96683,-1.96683,6476
5.4,-68.82323,2.227578,6.96683,-1.96683,6468
5.42,-68.85488,2.228469,6.96683,-1.96683,6472
5.44,-66.42769,2.230679,6.89935,-1.89935,6472
5.46,-68.92236,2.235389,6.96683,-1.96683,6496
5.48,-68.75575,2.235723,6.96683,-1.96683,6488
5.5,-71.3179,2.226516,7.03431,-2.03431,6472
5.52,-68.68827,2.230398,6.96683,-1.96683,6496
5.54,-71.38538,2.237138,7.03431,-2.03431,6512
5.56,-71.01633,2.23893,7.03431,-2.03431,6492
5.58,-71.38538,2.232884,7.03431,-2.03431,6480
5.6,-68.62079,2.238359,6.96683,-1.96683,6472
5.62,-69.05733,2.230939,6.96683,-1.96683,6488
5.64,-71.01633,2.230721,7.03431,-2.03431,6464
5.66,-71.38538,2.228988,7.03431,-2.03431,6476
5.68,-68.62079,2.233471,6.96683,-1.96683,6464
5.7,-69.05733,2.221636,6.96683,-1.96683,6476
5.72,-66.22525,2.220524,6.89935,-1.89935,6480
5.74,-69.1248,2.216143,6.96683,-1.96683,6488
5.76,-66.15777,2.21134,6.89935,-1.89935,6484
5.78,-71.58782,2.214352,7.03431,-2.03431,6492
5.8,-68.41835,2.214225,6.96683,-1.96683,6488
5.82,-71.6553,2.218215,7.03431,-2.03431,6496
5.84,-68.35087,2.219213,6.96683,-1.96683,6488
5.86,-69.32725,2.216835,6.96683,-1.96683,6484
5.88,-70.74641,2.220314,7.03431,-2.03431,6472
5.9,-69.25977,2.216,6.96683,-1.96683,6476
5.92,-70.8139,2.212754,7.03431,-2.03431,6480
5.94,-71.58782,2.205493,7.03431,-2.03431,6488
5.96,-68.41835,2.203804,6.96683,-1.96683,6480
5.98,-69.25977,2.203934,6.96683,-1.96683,6488
6,-68.41835,2.200243,6.96683,-1.96683,6472
6.02,-71.6553,2.192721,7.03431,-2.03431,6492
6.04,-70.74641,2.191754,7.03431,-2.03431,6496
6.06,-69.25977,2.188126,6.96683,-1.96683,6480
6.08,-70.8139,2.190888,7.03431,-2.03431,6504
6.1,-69.19228,2.200196,6.96683,-1.96683,6480
6.12,-70.88137,2.208279,7.03431,-2.03431,6476
6.14,-69.1248,2.21599,6.96683,-1.96683,6492
6.16,-68.55331,2.21337,6.96683,-1.96683,6492
6.18,-66.72926,2.209962,6.89935,-1.89935,6484
6.2,-66.22525,2.209353,6.89935,-1.89935,6488
6.22,-66.72926,2.211175,6.89935,-1.89935,6476
6.24,-66.22525,2.212538,6.89935,-1.89935,6488
6.26,-69.1248,2.202126,6.96683,-1.96683,6492
6.28,-70.94885,2.201586,7.03431,-2.03431,6492
6.3,-69.05733,2.1956,6.96683,-1.96683,6488
6.32,-68.62079,2.195498,6.96683,-1.96683,6504
6.34,-71.45287,2.187333,7.03431,-2.03431,6488
6.36,-68.55331,2.189955,6.96683,-1.96683,6488
6.38,-71.52035,2.19776,7.03431,-2.03431,6488
6.4,-68.48583,2.198642,6.96683,-1.96683,6500
6.42,-66.79675,2.197805,6.89935,-1.89935,6488
