Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado
1.88,190.7411,-5,4.074506,3.299793,-2.428236,-29.43311,-1.46817,-2.07812
1.9,-18.78186,-5,3.861853,3.031349,-9.756483,-12.55533,-2.345409,-2.44891
1.92,82.75098,-5,3.439647,2.857104,-23.45115,-21.04842,-2.075489,-2.4945
1.94,147.2957,-5,3.298157,2.712294,-1.099992,-15.78853,-1.738089,-2.311014
1.96,-48.84363,-5,3.124655,2.581321,-8.947322,-5.584409,-2.75029,-2.831166
1.98,84.71985,-5,2.982131,2.508264,2.579399,-18.00475,-2.412889,-2.861819
2,76.42676,-5,3.508719,2.544792,25.11376,-14.47568,-2.412889,-2.788965
2.02,-91.62659,-5,3.395168,2.468826,-3.649611,-12.94833,-3.357609,-3.340426
2.04,40.96484,-5,2.964463,2.237312,-23.46641,-27.32261,-3.08769,-3.485734
2.06,123.4506,-5,2.626636,1.947021,-11.25267,-22.13575,-2.75029,-3.363711
2.08,-49.22302,-5,2.225824,1.686494,-20.01603,-9.368344,-3.695009,-3.875301
2.1,87.97119,-5,1.846127,1.525785,-25.43588,-16.91355,-3.357609,-3.901753
2.12,134.5497,-5,2.038808,1.526222,16.86948,-8.545675,-3.08769,-3.675184
2.14,102.6692,-5,2.227911,1.74117,6.350392,1.071952,-3.08769,-3.513372
2.16,-68.51477,-5,2.057891,1.838202,-11.49694,4.467706,-4.03241,-4.027806
2.18,-8.266724,-5,2.762401,2.028932,36.41147,-12.90162,-4.03241,-4.169521
2.2,218.0344,-5,3.452001,2.294819,29.58704,-20.12277,-2.75029,-3.398386
2.22,-37.33557,-5,3.484269,2.420424,-0.1686933,-2.51732,-3.627529,-3.610784
2.24,-19.69312,-5,3.082699,2.420716,-28.06183,-15.37802,-3.762489,-3.875739
2.26,101.1842,-5,2.483558,2.141458,-26.62672,-19.88806,-3.357609,-3.844021
2.28,141.9125,-5,2.338958,1.993151,-2.13816,-10.06396,-3.08769,-3.646325
2.3,-48.35449,-5,2.352131,1.966948,-9.985491,0.1458285,-4.03241,-4.083498
2.32,19.1781,-5,2.181294,1.915748,-1.099992,-11.70499,-4.03241,-4.288714
2.34,28.33472,-5,3.001235,2.005889,38.77789,-15.45696,-4.03241,-4.26109
2.36,71.41675,-5,3.458206,2.177648,18.3046,-18.44265,-3.695009,-4.002213
2.38,41.85376,-5,3.230163,2.20107,-17.1,-15.31982,-3.695009,-3.951298
2.4,-117.771,-5,2.813855,2.005799,-24.65725,-15.201,-4.639729,-4.568705
2.42,23.75134,-5,2.721616,1.785844,6.029782,-30.78784,-4.30233,-4.649862
2.44,30.39807,-5,2.678915,1.526765,2.579399,-26.6496,-4.30233,-4.671321
2.46,94.37769,-5,2.298562,1.361218,-21.89389,-21.84834,-3.96493,-4.496812
2.48,72.84155,-5,1.640932,1.187233,-37.20687,-10.01312,-4.03241,-4.509377
2.5,87.22375,-5,1.171167,1.112427,-11.05419,-2.746296,-4.03241,-4.525224
2.52,91.39563,-5,1.749548,1.365022,36.83895,1.624777,-3.96493,-4.366079
2.54,49.87122,-5,2.45363,1.783232,31.64811,2.562555,-4.03241,-4.240346
2.56,21.28479,-5,3.312186,2.263657,42.79316,-3.899322,-4.03241,-4.11431
2.58,14.04456,-5,3.688926,2.554441,19.95345,-12.30884,-3.96493,-4.042928
2.6,51.97852,-5,3.714403,2.638814,-3.038924,-18.60331,-3.695009,-3.912507
2.62,-129.0679,-5,3.206724,2.360676,-26.22977,-17.62088,-4.707209,-4.568566
2.64,38.99634,-5,2.582383,1.941079,-33.86336,-32.9911,-4.30233,-4.699279
2.66,-107.0405,-5,1.826207,1.267546,-32.99313,-23.98991,-5.314529,-5.420256
2.68,53.27319,-5,1.229672,0.7524942,-28.33664,-30.6291,-4.977129,-5.534406
2.7,63.48828,-5,1.146475,0.4506733,-5.588543,-18.52187,-4.977129,-5.505685
2.72,-114.6953,-5,1.072544,0.310883,-2.794649,-9.605918,-5.989328,-6.038677
2.74,184.1469,-5,0.9151666,0.338447,-5.374802,-20.64921,-4.707209,-5.487947
2.76,112.6349,-5,1.349095,0.5615522,19.58704,0.8110392,-4.639729,-5.107196
2.78,53.08679,-5,1.478138,0.9769046,3.739704,7.311006,-4.707209,-4.952703
2.8,57.73743,-5,1.399327,1.275827,-4.51984,5.924845,-4.639729,-4.879636
2.82,-177.0322,-5,1.989433,1.467183,33.90766,3.041082,-5.92185,-5.561251
2.84,64.07068,-5,2.778351,1.703786,39.26643,-24.85806,-4.977129,-5.235118
2.86,6.298706,-5,3.2894,1.768843,18.16719,-20.7016,-4.977129,-5.073971
2.88,37.69104,-5,3.250518,1.830073,-8.275566,-23.60248,-4.639729,-4.849014
2.9,-99.75928,-5,2.713074,1.605495,-29.61909,-20.8336,-5.314529,-5.263405
2.92,-35.4325,-5,2.135326,1.236791,-27.86336,-30.94805,-5.314529,-5.52794
2.94,-165.9558,-5,1.980294,0.7611363,-1.344267,-30.9704,-6.259249,-6.203873
2.96,125.1816,-5,1.950236,0.5033808,0.7626044,-43.61801,-5.044609,-5.738738
2.98,-102.5889,-5,1.704233,0.1986333,-20.48931,-22.12869,-5.989328,-6.091643
