Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
1.48,157.4747,-5,4.31058,4.095593,28.99162,7.709877,-1.06329,-1.333952,-4.083486,8092
1.5,-8.437622,-5,4.503633,4.314309,5.251155,6.828839,-1.805569,-1.683607,-6.694555,8080
1.52,109.1318,-5,4.634057,4.395122,5.724438,-10.78942,-1.40069,-1.640373,-8.095942,8132
1.54,6.819214,-5,4.276598,4.112349,-12.41297,-9.577724,-2.008009,-2.071638,-11.80036,8124
1.56,-57.80347,-5,3.85823,3.674067,-37.81756,-17.97599,-2.75029,-2.761646,-15.17753,8172
1.58,171.3784,-5,3.20662,3.150825,-26.87099,-27.5489,-2.008009,-2.679445,-15.83156,8212
1.6,37.65247,-5,2.600233,2.615907,-35.8939,-8.95274,-2.75029,-3.096421,-16.7473,8160
1.62,223.7065,-5,1.806256,2.319292,-48.48932,-7.203729,-2.075489,-2.894952,-14.90006,8192
1.64,97.77197,-5,1.142213,2.060365,12.04505,14.79562,-2.75029,-3.207385,-13.88741,8152
1.66,178.7139,-5,1.677451,2.324003,18.96108,14.98223,-2.48037,-3.025426,-8.490663,8204
1.68,56.26697,-5,2.411166,2.713861,38.18246,20.67262,-3.02021,-3.147913,-5.929727,8172
1.7,-94.10718,-5,2.696029,2.918441,11.89238,10.78653,-4.03241,-3.798255,-7.452152,8232
1.72,65.83069,-5,2.946075,2.925115,10.80841,-11.56243,-3.627529,-3.847885,-7.79092,8276
1.74,181.3586,-5,2.733338,2.75204,-11.46641,-9.212174,-3.02021,-3.54311,-7.80518,8244
1.76,20.47412,-5,2.234823,2.537164,-31.26794,5.400543,-3.762489,-3.892162,-9.262238,8216
1.78,-172.1187,-5,1.63171,2.15691,-39.75649,0.3201506,-5.247049,-4.986161,-12.68586,8264
1.8,192.6278,-5,2.188448,2.039551,40.90002,-23.80107,-3.897449,-4.548672,-8.851768,8364
1.82,-10.09802,-5,2.662226,1.946026,17.80078,-4.791662,-4.639729,-4.708105,-8.403691,8272
1.84,-86.91882,-5,2.322909,1.830365,-26.30611,-11.809,-5.247049,-5.185418,-10.78592,8316
1.86,96.29004,-5,1.694628,1.505735,-38.87099,-21.82747,-4.639729,-5.116233,-11.8115,8368
1.88,-9.543457,-5,1.141914,1.083082,-5.481672,-8.293742,-5.247049,-5.47404,-12.72766,8312
1.9,66.3562,-5,1.247136,0.9943683,-8.336635,-10.30538,-5.044609,-5.429857,-10.23354,8372
1.92,-25.53149,-5,1.014766,0.849803,-15.43587,-3.359169,-5.58445,-5.727281,-10.4575,8348
1.94,75.89233,-5,0.9316688,0.8168094,-6.840452,-7.609811,-5.247049,-5.632836,-8.868569,8404
1.96,106.3521,-5,1.131163,0.9090894,8.5794,-0.7239907,-4.977129,-5.372453,-6.484087,8384
1.98,-100.938,-5,1.217441,0.9943361,-2.657244,6.241068,-5.989328,-5.839196,-7.08503,8356
2,-29.02698,-5,1.096232,0.9650573,-9.909155,-9.643043,-5.989328,-6.070317,-7.795293,8400
2.02,52.04211,-5,1.46178,0.9265172,18.25879,-13.95912,-5.65193,-5.918901,-6.476185,8428
2.04,34.11963,-5,1.718242,0.9768105,8.85421,-9.48554,-5.58445,-5.771016,-5.678055,8368
